date,Output,Heat Rate,Heat Consumption,Exhaust Temperature,Exhaust Flow
2022-06-24 18:00:00+00:00,89370.21440751261,11087.919465380013,955216337.0863117,1043.591159601839,922786.5839700687
2022-06-24 19:00:00+00:00,89304.90468984349,11088.132938355147,954536506.4539503,1043.5922098770116,922129.5077907278
2022-06-24 20:00:00+00:00,89276.91481084243,11088.224426773068,954245150.4686525,1043.5926599949426,921847.9037138674
2022-06-24 21:00:00+00:00,89230.26501250734,12174.955005581482,953759557.1598231,1085.8934101914942,799555.0030552739
2022-06-24 22:00:00+00:00,89248.92493184138,26593.47722456549,953953794.4833547,869.4931101128735,632948.0755228109
2022-06-24 23:00:00+00:00,89276.91481084243,26593.257804846864,954245150.4686525,869.4926599949425,633141.4861961161
2022-06-25 00:00:00+00:00,89435.52412518174,27728.702156581294,955896167.7186731,859.1201093266667,634429.5167020657
2022-06-25 01:00:00+00:00,89491.50388318385,27728.244558753053,956478879.6892687,859.1192090908046,634816.4551718256
2022-06-25 02:00:00+00:00,89566.14356052,27727.634428315392,957255828.9833959,859.1180087763219,635332.3731315056
2022-06-25 03:00:00+00:00,89566.14356052,27727.634428315392,957255828.9833959,859.1180087763219,635332.3731315056
2022-06-25 04:00:00+00:00,89528.82372185192,27727.939493534217,956867354.3363323,859.1186089335632,635074.4141516655
2022-06-25 05:00:00+00:00,89500.83384285087,27728.168292448343,956575998.3510345,859.1190590514942,634880.9449167856
2022-06-25 06:00:00+00:00,89547.48364118594,20711.810901777808,957061591.6598641,958.0558088549425,633376.8197414845
2022-06-25 07:00:00+00:00,89426.19416551472,20712.55149361391,955799049.0569072,958.057759365977,632540.8638418334
2022-06-25 08:00:00+00:00,89482.17392351684,20712.20968199725,956381761.0275028,958.056859130115,632926.6896416724
2022-06-25 09:00:00+00:00,89482.17392351684,15657.35836452143,956381761.0275028,1101.089359130115,652590.5850754345
2022-06-25 10:00:00+00:00,89547.48364118594,15657.056907318149,957061591.6598641,1101.0883088549426,653054.6999089592
2022-06-25 11:00:00+00:00,89603.46339918807,15656.798515429624,957644303.6304597,1101.0874086190804,653452.5126234092
2022-06-25 12:00:00+00:00,89650.11319752317,15656.583188855848,958129896.9392892,1101.0866584225287,653784.0232187841
2022-06-25 13:00:00+00:00,89696.76299585825,15656.367862282075,958615490.2481189,1101.0859082259772,654115.5338141589
2022-06-25 14:00:00+00:00,89743.41279419335,15656.152535708308,959101083.5569484,1101.0851580294252,654447.0444095337
2022-06-25 15:00:00+00:00,89724.7528748593,15656.238666337811,958906846.2334164,1101.085458108046,654314.4401713839
2022-06-25 16:00:00+00:00,89678.10307652422,15656.453992911587,958421252.924587,1101.0862083045977,653982.9295760089
2022-06-25 17:00:00+00:00,89603.46339918807,11276.797011883684,957644303.6304597,1051.6624086190805,892015.0542816019
2022-06-25 18:00:00+00:00,89510.16380251788,11277.107189479862,956673117.0128006,1051.663909012184,891109.9772147436
